19:25, RUNNING, 1
19:30, OTHER, 0
19:35, RUNNING, 1
19:40, OTHER, 0
19:45, OTHER, 0
19:50, RUNNING, 1
19:55, OTHER, 0
20:00, STABLE, 5
20:05, OTHER, 0
20:10, OTHER, 0
20:15, OTHER, 0
20:20, OTHER, 0
20:25, OTHER, 0
20:30, OTHER, 0
20:35, OTHER, 0
20:40, OTHER, 0
20:45, OTHER, 0
20:50, OTHER, 0
20:55, OTHER, 0
21:00, OTHER, 0
21:05, OTHER, 0
21:10, OTHER, 0
21:15, OTHER, 0
21:20, OTHER, 0
21:25, OTHER, 0
21:30, OTHER, 0
21:35, OTHER, 0
21:40, OTHER, 0
21:45, OTHER, 0
21:50, OTHER, 0
21:55, OTHER, 0
22:00, OTHER, 0
22:05, OTHER, 0
22:10, OTHER, 0
22:15, OTHER, 0
22:20, OTHER, 0
22:25, OTHER, 0
22:30, OTHER, 0
22:35, OTHER, 0
22:40, OTHER, 0
22:45, OTHER, 0
22:50, OTHER, 0
22:55, OTHER, 0
23:00, OTHER, 0
23:05, OTHER, 0
23:10, OTHER, 0
23:15, OTHER, 0
23:20, OTHER, 0
23:25, OTHER, 0
23:30, OTHER, 0
23:35, OTHER, 0
23:40, OTHER, 0
23:45, OTHER, 0
23:50, OTHER, 0
23:55, OTHER, 0
