,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
place name,ラウンジカフェ,CASA＆Deli,はまの屋パーラー 後楽園店,Café de Crié - Bunkyo Civic Center,Social Cafe Sign with Me × very berry soup Kasuga,Caffè Veloce - Kasuga Station,Live Coffee Kimura,Mango Tree Café,WithGreen Tokyo Dome City Rakuaten,Micky's Cafe,Afternoon Tea TEAROOM Metro M Korakuen,Vie de France - Korakuen,nana's green tea (Tokyo Dome City LaQua),PIETRO TOKYO DOME CITY LaQua,BAKERY RESTAURANT C ラクーア店,Starbucks Coffee - Tokyo Dome City LaQua,YANAKA COFFEE 東京ドームシティ ラクーア店
rating,2.7,2.8,3.6,3.6,4.2,3.7,4.4,3.2,4.3,4.3,3.9,3.7,3.8,4.1,2.8,3.7,3.8
user comments num,7,12,52,330,84,626,97,100,19,55,153,74,100,39,37,322,6
